player_a_id,player_b_id,player_a,player_b,outcome,n_with,n_without,mean_with,mean_without,delta,cohens_d,t_stat,p_value,significant,bh_significant,bh_rank,bh_threshold
14932,22702,faven,cej0t,kd_log,109,216,-0.05908769175377685,0.0299902083756578,-0.08907790012943465,-0.20230386848720255,-1.761885302005951,0.07941341512098578,False,False,3778,0.01303118101545254
22702,14932,cej0t,faven,rating,109,246,0.03180077263479256,-0.012844071630138768,0.04464484426493132,0.24816002855514113,2.246555726295818,0.025624596868313955,True,False,2307,0.007957367549668875
22702,14932,cej0t,faven,adr,109,246,3.09147255870298,-1.2278126636005238,4.319285222303503,0.23030212598414754,2.0736134552793097,0.03925145681010112,True,False,2769,0.009550910596026491
22702,14932,cej0t,faven,kd_log,109,246,0.03483238194705933,-0.015488462237992627,0.050320844185051956,0.11277570602378187,1.0427650835336837,0.2981027351306626,False,False,7131,0.024596440397350997
15007,20510,cooper,hyza,rating,45,25,-0.017985941603612724,0.03239258915644698,-0.0503785307600597,-0.3395009662437375,-1.3827928461514485,0.1726308117231447,False,False,5335,0.01840162803532009
15007,20510,cooper,hyza,adr,45,25,-2.4808775845156674,4.388555937890391,-6.869433522406059,-0.41235857208985893,-1.6600692512531643,0.10312020155372281,False,False,4206,0.01450745033112583
15007,20510,cooper,hyza,kd_log,45,25,-0.034724538365608085,0.06143200136081926,-0.09615653972642735,-0.21380566598143935,-0.8656284879855607,0.3907348955920696,False,False,8239,0.028418184326710817
20510,15007,hyza,cooper,rating,45,29,0.036722309835890345,-0.057963448289131254,0.0946857581250216,0.5462377401967898,2.313465091378433,0.024050828845222957,True,False,2259,0.00779180463576159
20510,15007,hyza,cooper,adr,45,29,4.642231551617093,-7.35515886586143,11.997390417478524,0.6470697165075874,2.7697048284648784,0.00734444099408456,True,False,1331,0.004590921633554085
20510,15007,hyza,cooper,kd_log,45,29,0.10287637927045205,-0.1613376297638513,0.26421400903430337,0.5995168834864256,2.5414411370997887,0.013565063726743199,True,False,1731,0.005970612582781458
15071,16555,interz,ax1le,rating,36,95,0.01877163331534286,-0.007293268529940411,0.02606490184528327,0.1631527579125987,0.8989257769972372,0.3716019032401888,False,False,8018,0.027655905077262694
15071,16555,interz,ax1le,adr,36,95,3.3378833139817434,-1.263191079431606,4.60107439341335,0.2753800626686314,1.5259853208706469,0.1312124856313169,False,False,4717,0.016270005518763796
15071,16555,interz,ax1le,kd_log,36,95,0.1147341595688556,-0.04258511800108699,0.1573192775699426,0.31920170554461413,1.9748276832176297,0.05109669178502687,False,False,3085,0.010640866445916115
16555,15071,ax1le,interz,rating,35,82,-0.025337400313090397,0.01107994288327319,-0.03641734319636358,-0.2212563939933513,-1.1171437759063325,0.26791124072819017,False,False,6735,0.023230546357615896
16555,15071,ax1le,interz,adr,35,82,-2.399620650675226,1.0083128337103198,-3.4079334843855458,-0.19878902015603112,-0.983344305931097,0.32913381945212794,False,False,7510,0.02590369757174393
16555,15071,ax1le,interz,kd_log,35,82,-0.06592105680229514,0.02260347742203725,-0.08852453422433239,-0.1815813011534602,-0.9385085656688054,0.3511642410789321,False,False,7759,0.02676255518763797
15071,20447,interz,heavygod,rating,36,151,0.06471046625486722,-0.014655560179822976,0.07936602643469019,0.4385907475427761,2.30333190467901,0.0253366835972551,True,False,2294,0.007912527593818984
15071,20447,interz,heavygod,adr,36,151,7.146587196877355,-1.6095511569188228,8.756138353796178,0.4724407752147984,2.448624825073316,0.017839103776699502,True,False,1963,0.0067708333333333336
15071,20447,interz,heavygod,kd_log,36,151,0.06754487532052265,-0.015262993863181303,0.08280786918370396,0.18508409969299,0.9588786255227548,0.3421718144893187,False,False,7648,0.026379690949227375
20447,15071,heavygod,interz,rating,35,82,-0.025337400313090397,0.01107994288327319,-0.03641734319636358,-0.2212563939933513,-1.1171437759063325,0.26791124072819017,False,False,6739,0.02324434326710817
20447,15071,heavygod,interz,adr,35,82,-2.399620650675226,1.0083128337103198,-3.4079334843855458,-0.19878902015603112,-0.983344305931097,0.32913381945212794,False,False,7506,0.02588990066225166
20447,15071,heavygod,interz,kd_log,35,82,-0.06592105680229514,0.02260347742203725,-0.08852453422433239,-0.1815813011534602,-0.9385085656688054,0.3511642410789321,False,False,7756,0.026752207505518766
15071,20700,interz,lattykk,rating,82,75,-0.009538271659687543,0.012628263052199612,-0.022166534711887155,-0.12510523036922347,-0.7787477381245355,0.4373681142958815,False,False,8743,0.03015659492273731
15071,20700,interz,lattykk,adr,82,75,-0.7911894354482052,1.0490511518778796,-1.8402405873260848,-0.0942047811255882,-0.5873968877147955,0.5578174503770029,False,False,9959,0.034350855408388524
15071,20700,interz,lattykk,kd_log,82,75,0.01117447521121003,-0.015589671476164092,0.026764146687374122,0.05176395192591572,0.3263633278664424,0.7445921786444435,False,False,11928,0.04114238410596027
