player_a_id,player_b_id,player_a,player_b,n_sig_outcomes,outcomes_significant,max_t,min_p,n_bh_sig_outcomes,delta_adr,delta_kd_log,delta_rating
12092,19698,max,adams,1,kd_log,2.1134283486379988,0.037344138695956985,0,-2.0415872313830308,0.15740083942186592,-0.0282616161719639
15914,19698,luken,adams,1,kd_log,2.1134283486379988,0.037344138695956985,0,-2.0415872313830308,0.15740083942186592,-0.0282616161719639
21239,19698,martinezsa,adams,1,kd_log,2.1134283486379988,0.037344138695956985,0,-2.0415872313830308,0.15740083942186592,-0.0282616161719639
22613,19698,huasopeek,adams,1,kd_log,2.1134283486379988,0.037344138695956985,0,-2.0415872313830308,0.15740083942186592,-0.0282616161719639
16717,13249,br0,osee,1,adr,2.107815189856406,0.03884853939401921,0,8.557115320766432,0.13108974192777967,0.0655754890179921
18714,20690,piriajr,zock,1,rating,2.1046585908073685,0.03658539198747839,0,4.415229037409241,0.01787507940686952,0.04813764300079862
22864,24177,robo,kyousuke,1,rating,2.0996500090479757,0.038009597063981215,0,6.007851598356825,0.04211408098466044,0.06212995994556059
23319,24177,syph0,kyousuke,1,rating,2.0996500090479757,0.038009597063981215,0,6.007851598356825,0.04211408098466044,0.06212995994556059
23600,24177,alkaren,kyousuke,1,rating,2.0996500090479757,0.038009597063981215,0,6.007851598356825,0.04211408098466044,0.06212995994556059
24176,24177,mokuj1n,kyousuke,1,rating,2.0996500090479757,0.038009597063981215,0,6.007851598356825,0.04211408098466044,0.06212995994556059
12708,7266,rigon,syrson,1,kd_log,2.0975079477230136,0.03826475931013253,0,6.28678462202612,0.19561842309404698,0.030966461905052402
19231,19874,h1te,masval,1,kd_log,2.0936585983270515,0.046002645822965114,0,2.4178520629708893,0.19852276920431944,0.02586819410310328
21363,18671,shg,get-jeka,1,kd_log,2.0915214198372833,0.03817721544992594,0,0.9630302716979035,0.11940507033968065,0.008553233509082242
21290,20029,perez,card,1,rating,2.0904955215680685,0.04460301442151768,0,6.935802361862508,0.08833110953641685,0.07484360416245674
16814,18891,danoco,cutzmeretz,1,kd_log,2.0865769791651756,0.038312770828550356,0,3.416154148589576,0.13255095092950797,0.028429492299757275
20185,20394,cass1n,luchov,1,adr,2.081865324326882,0.03860504648767533,0,5.03161954923271,0.08456422709455974,0.04283741209815374
22383,23766,jcobbb,hypex,1,kd_log,2.0753748466003046,0.041045285631817974,0,3.4307792032618467,0.16260005936730235,0.04304171779595707
10994,10096,stavn,hooxi,1,kd_log,2.075260452649042,0.04043762328886293,0,2.9849747943076648,0.17082904716122588,0.036201450036671315
15370,18838,slaxz,hext,1,kd_log,2.072816219987124,0.042138171200299286,0,1.3353479621381747,0.20280145374334763,-0.0061758925238711015
16599,18838,swisher,hext,1,kd_log,2.072816219987124,0.042138171200299286,0,1.3353479621381747,0.20280145374334763,-0.0061758925238711015
