hltv_player_id,true_plus_minus,pm_maps,avg_rating,win_rate,label
11995,0.75,352,0.7193380681818181,0.5596590909090909,tmb
13250,0.7457627118644068,118,0.6313644067796611,0.5423728813559322,ben1337
20464,0.7393364928909952,211,0.7831469194312796,0.5545023696682464,ewjerkz
20702,0.7363636363636363,110,0.7017181818181818,0.5272727272727272,jee
18141,0.7316176470588235,272,0.7479485294117647,0.5477941176470589,biguzera
24296,0.7288135593220338,59,0.6285932203389831,0.5084745762711864,angelo
21266,0.7278688524590164,305,0.7041868852459017,0.5573770491803278,1eer
22460,0.7278688524590164,305,0.7537016393442623,0.5573770491803278,riskyb0b
20387,0.7278688524590164,305,0.7701344262295081,0.5573770491803278,xant3r
11213,0.7267441860465116,172,0.7281162790697675,0.5523255813953488,delboni
16820,0.7248908296943232,229,0.673877729257642,0.5633187772925764,siuhy
23317,0.7236842105263158,304,0.6974210526315789,0.555921052631579,khan
22695,0.7220902612826603,421,0.7681947743467934,0.5629453681710214,sirah
21348,0.7104247104247104,259,0.6929266409266409,0.5482625482625483,artfr0st
19187,0.7103174603174603,252,0.8423373015873016,0.5714285714285714,xfl0ud
14932,0.7047353760445683,359,0.7555236768802228,0.5821727019498607,faven
14148,0.7012987012987013,231,0.7447575757575757,0.5541125541125541,sjuush
12937,0.6964285714285714,112,0.6954107142857142,0.5714285714285714,wolfy
22333,0.6931818181818182,88,0.7995909090909091,0.5681818181818182,miq
23047,0.6931506849315069,365,0.7572876712328768,0.5260273972602739,sdaim
19015,0.6923076923076923,156,0.7308525641025642,0.5384615384615384,bymas
17803,0.6909975669099757,411,0.6891532846715329,0.5693430656934306,fear
23046,0.6821917808219178,365,0.753586301369863,0.5561643835616439,jambo
14273,0.676923076923077,195,0.659251282051282,0.517948717948718,idisbalance
8248,0.6748466257668712,163,0.8176503067484662,0.5644171779141104,jkaem
20171,0.6739130434782609,276,0.7046268115942029,0.5362318840579711,snow
23685,0.673469387755102,196,0.7611581632653062,0.5663265306122449,zweih
15914,0.6728971962616822,107,0.8389252336448598,0.5887850467289719,luken
20941,0.6695652173913044,115,0.7723913043478261,0.5478260869565217,buzz
10570,0.6666666666666666,54,0.7561851851851851,0.5370370370370371,dzt
22760,0.6666666666666666,192,0.686078125,0.5729166666666666,upe
19738,0.6653696498054474,257,0.7466575875486381,0.5719844357976653,djoko
22965,0.6631578947368421,190,0.6831157894736842,0.5526315789473685,saadzin
16948,0.6539792387543253,289,0.7162491349480969,0.5397923875432526,travis
16487,0.6538461538461539,208,0.7560432692307693,0.5769230769230769,eraa
17622,0.6538461538461539,78,0.7978205128205128,0.5384615384615384,wolffe
22047,0.6529850746268657,268,0.6970037313432835,0.5634328358208955,yxngstxr
23551,0.6492146596858639,191,0.7557329842931937,0.5392670157068062,tomate
21221,0.644808743169399,183,0.7834098360655738,0.5355191256830601,maxxkor
8183,0.6442687747035574,253,0.7578379446640316,0.549407114624506,rain
20945,0.6428571428571429,182,0.7189615384615384,0.5494505494505495,frontsiderr
20607,0.6428571428571429,224,0.7402142857142857,0.5401785714285714,buda
11343,0.6416666666666667,120,0.8776666666666666,0.5583333333333333,shipz
19694,0.6413043478260869,276,0.706054347826087,0.5398550724637681,nqz
21012,0.6351351351351351,148,0.7058445945945946,0.5472972972972973,ro1f
10330,0.634020618556701,194,0.6812113402061856,0.5360824742268041,acor
13602,0.6260504201680672,238,0.7180546218487395,0.5588235294117647,nicoodoz
16080,0.625,296,0.7793277027027028,0.527027027027027,dycha
20885,0.624390243902439,205,0.6928487804878048,0.5170731707317073,freq
19874,0.6219512195121951,246,0.8117154471544715,0.540650406504065,masval
16814,0.6210526315789474,190,0.7674894736842106,0.5578947368421052,danoco
20939,0.6190476190476191,126,0.6786666666666666,0.5555555555555556,history
19310,0.6127819548872181,266,0.668218045112782,0.5601503759398496,lnz
