player_a_id,player_a,n_events,mean_delta,median_delta,mean_t,min_p
20941,buzz,1,-0.019300341536028425,-0.019300341536028425,-0.5116342269154651,0.6109060536758179
13568,ajtt,1,-0.019398053808052183,-0.019398053808052183,-0.4042461438822205,0.6875065667378996
9766,hampus,6,-0.01952362750869177,-0.03322435265903617,-0.3819862308446613,0.10860811277479031
11777,maden,3,-0.019523688463746955,-0.006163200507611158,-0.606584486506263,0.051248698338831264
8183,rain,1,-0.01957952162056638,-0.01957952162056638,-0.41016094650451057,0.6833189303188243
22911,doc,1,-0.019652753130897805,-0.019652753130897805,-0.4285999761442678,0.6697149445083702
21972,neityu,2,-0.019875133512957437,-0.019875133512957437,-0.5584913531539485,0.0930778298047268
16717,br0,2,-0.020292556761294434,-0.020292556761294434,-0.5454710942950284,0.5470627697457475
22085,spinnie,2,-0.02041417684617166,-0.02041417684617166,-0.4706407719405117,0.41410831464877057
9216,coldzera,3,-0.02058647460236303,-0.017426758937482474,-0.5050159303500296,0.3095550157680228
21763,ultimate,1,-0.020804701229568807,-0.020804701229568807,-0.5536925651554948,0.5819814327332556
15165,blamef,1,-0.021745421558095522,-0.021745421558095522,-0.5888597822700685,0.5577609738153482
22914,dex,3,-0.021797733327107962,-0.05203435707369017,-0.41346329707280116,0.022134820533639025
24286,levantino,1,-0.022575829736417016,-0.022575829736417016,-0.6306186184584749,0.5301333295158017
24749,guty,1,-0.02318090168358205,-0.02318090168358205,-0.5465359119300183,0.5869307055785139
24190,youka,1,-0.0235591681891214,-0.0235591681891214,-0.6567109037560203,0.5141994278505759
13602,nicoodoz,4,-0.023634000533259373,-0.02902250534590213,-0.5829289781875207,0.13516966898835378
24806,frontales,1,-0.023798203144431707,-0.023798203144431707,-0.6746954127647053,0.5021297375787147
12708,rigon,2,-0.023923297816757248,-0.023923297816757248,-0.627894254730825,0.4817693878184247
17508,glowiing,2,-0.02393135801749337,-0.02393135801749337,-0.6233182313894966,0.21350779124387465
22106,azuwu,2,-0.023954740159376917,-0.023954740159376917,-0.5490095578336583,0.33331947406406415
3669,innocent,3,-0.02414581631093128,-0.025879801175364203,-0.6074176448020588,0.22672660814968726
23858,mo0n,4,-0.024277486456640116,-0.034935750911399485,-0.5242755892853417,0.3511415324083179
23599,forkyz,1,-0.024335390018720024,-0.024335390018720024,-0.6149029183297764,0.5415312605932431
7998,s1mple,4,-0.024499796719458032,-0.035856725596301944,-0.7274769444339755,0.07775151963857398
6553,fl4sh,2,-0.025022279595820485,-0.025022279595820485,-0.6944085754811862,0.2981473061673888
24177,kyousuke,1,-0.025288315214003855,-0.025288315214003855,-0.6620599658806615,0.509887441536376
22366,nicks,4,-0.025352011994698803,-0.02482430130231072,-0.5928711543622068,0.047172133107058194
19128,slight,1,-0.025621511051765647,-0.025621511051765647,-0.5196600818341804,0.6053268284448728
17803,fear,1,-0.026100872470007655,-0.026100872470007655,-0.6552418771030719,0.5149053524982833
8552,attacker,1,-0.026556770575891262,-0.026556770575891262,-0.6762144820628788,0.5009672784447221
