player_col,rapm_score,hltv_player_id,hltv_slug,player_name,label,maps,avg_rating,avg_adr,avg_kd_log,win_rate,rapm_rank,rating_rank,adr_rank,kd_rank,winrate_rank,delta_rating,delta_adr,delta_kd,rapm_score_z,avg_rating_z,avg_adr_z,avg_kd_log_z,flag_high_rating_low_rapm,flag_low_rating_high_rapm
p_20447,0.8841565724325782,20447,heavygod,heavygod,heavygod,188,0.7949680851063831,79.43085106382979,0.1206088543609819,0.5159574468085106,257.0,73.0,94.0,69.0,368.0,-184.0,-163.0,-188.0,0.5191403857357412,1.330813256752857,1.214308707360806,1.3477243358897366,False,False
p_12290,0.8839385496139378,12290,perx,perx,perx,129,0.736875968992248,72.9108527131783,0.019021135529707082,0.46511627906976744,258.0,373.0,438.0,268.0,606.0,115.0,180.0,10.0,0.5187748648188185,0.15556475856761917,-0.056813636736684,0.462614123211785,False,False
p_20519,0.8838196460972594,20519,lcm,lcm,lcm,136,0.6178529411764706,63.26176470588236,0.0018639424792076327,0.5220588235294118,259.0,841.0,829.0,318.0,338.0,582.0,570.0,59.0,0.5185755199854993,-2.252363271031498,-1.9379753650999187,0.3131274828521722,False,False
p_9032,0.8815879777891684,9032,magisk,magisk,magisk,242,0.7005950413223141,70.34628099173554,-0.05547203245206653,0.49173553719008267,260.0,600.0,604.0,494.0,487.0,340.0,344.0,234.0,0.5148340701165008,-0.5784265058077916,-0.5567960359409296,-0.18642755735702166,False,False
p_18979,0.8810200875601365,18979,prism,prism,prism,218,0.7451330275229358,74.4348623853211,-0.11028205025991096,0.4954128440366973,261.0,322.0,341.0,652.0,475.0,61.0,80.0,391.0,0.5138819874009317,0.32261144728786567,0.24030342414230058,-0.6639745194987516,False,False
p_25106,0.876383345677142,25106,next,next,next,91,0.5983736263736263,58.6,-0.22551802378678734,0.5164835164835165,262.0,849.0,849.0,804.0,363.0,587.0,587.0,542.0,0.5061083692302504,-2.646444895166892,-2.846821190188206,-1.6679988071779397,False,False
p_17622,0.875865067287941,17622,wolffe,wolffe,wolffe,78,0.7978205128205128,79.5025641025641,0.050635174695951767,0.5384615384615384,263.0,64.0,90.0,190.0,274.0,-199.0,-173.0,-73.0,0.5052394620524451,1.3885200784604115,1.228289699532252,0.7380599079184833,False,False
p_17918,0.8749635747926682,17918,nosrac,nosrac,nosrac,132,0.7296060606060607,73.96136363636363,-0.0922985156089207,0.5909090909090909,264.0,425.0,380.0,598.0,89.0,161.0,116.0,334.0,0.5037280864747603,0.008488881764914222,0.14799130881148845,-0.5072881565922644,False,False
p_8605,0.8732869199981681,8605,somebody,somebody,somebody,80,0.739925,74.42625000000001,-0.06648196472511957,0.475,265.0,359.0,344.0,527.0,559.0,94.0,79.0,262.0,0.5009171311735201,0.21724901716375,0.23862437534062161,-0.2823545415228647,False,False
p_10394,0.8710533129953544,10394,twistzz,twistzz,twistzz,221,0.797420814479638,79.85339366515836,0.09216492684860385,0.47058823529411764,266.0,65.0,75.0,119.0,578.0,-201.0,-191.0,-147.0,0.4971724310324762,1.3804338714798057,1.2966865413717852,1.099898998146977,False,False
p_20558,0.8702026465788437,20558,gafolo,gafolo,gafolo,271,0.6896088560885608,70.0210332103321,-0.02275082347996145,0.5977859778597786,267.0,666.0,628.0,398.0,69.0,399.0,361.0,131.0,0.49574626669565425,-0.8006855412918121,-0.6202055185934413,0.0986647408614458,False,False
p_10981,0.8681040336935713,10981,mantuu,mantuu,mantuu,194,0.6972783505154638,70.71907216494846,0.11095398633024142,0.5154639175257731,268.0,620.0,583.0,88.0,373.0,352.0,315.0,-180.0,0.492227887698106,-0.6455257294276919,-0.4841176141885825,1.263603711916877,False,False
p_24179,0.8639923220759497,24179,spavaqu,spavaqu,spavaqu,251,0.7244780876494024,74.51633466135458,0.07620512405204088,0.5418326693227091,269.0,465.0,332.0,145.0,254.0,196.0,63.0,-124.0,0.48533449640096044,-0.09525398248548665,0.256187052468723,0.9608449411203995,False,False
p_20994,0.8626601080445838,20994,fl4mus,fl4mus,fl4mus,256,0.76994921875,77.1625,-0.01682762183843222,0.56640625,270.0,176.0,181.0,379.0,162.0,-94.0,-89.0,109.0,0.4831010049833243,0.8246622146068485,0.7720767363660194,0.15027222181468788,False,False
p_19703,0.8607109728084481,19703,ryujin,ryujin,ryujin,274,0.7443978102189781,74.22664233576641,-0.04985197112804215,0.4562043795620438,271.0,328.0,362.0,480.0,633.0,57.0,91.0,209.0,0.4798332291460904,0.3077374318428373,0.19970937131533978,-0.13746126762241118,False,False
p_9031,0.8553118822111663,9031,valde,valde,valde,127,0.7101259842519685,70.22283464566928,-0.09074379346656501,0.4881889763779528,272.0,549.0,615.0,594.0,502.0,277.0,343.0,322.0,0.4707815135597401,-0.3856081491420056,-0.5808628225170849,-0.49374222346267915,False,False
p_21165,0.852284671308357,21165,m1key,m1key,m1key,172,0.776732558139535,78.47325581395349,-0.03910336279214051,0.4941860465116279,273.0,145.0,122.0,451.0,477.0,-128.0,-151.0,178.0,0.4657063158725732,0.9618944237859529,1.02761836585209,-0.043811138259992485,False,False
p_21921,0.8503730945909327,21921,rdnzao,rdnzao,rdnzao,285,0.7471333333333333,75.23719298245614,0.01723782448974187,0.5824561403508772,274.0,311.0,292.0,272.0,114.0,37.0,18.0,-2.0,0.46250150786725386,0.3630791829606746,0.3967237626949206,0.4470765480795377,False,False
p_11271,0.8476359085734616,11271,smooya,smooya,smooya,101,0.7293465346534653,75.17821782178218,0.13808396837670228,0.504950495049505,275.0,427.0,298.0,58.0,428.0,152.0,23.0,-217.0,0.4579125444315306,0.003238470755121586,0.3852261149275849,1.499980947820508,False,False
p_17133,0.8466992949435318,17133,desh,desh,desh,176,0.6921079545454545,71.03352272727273,0.07867256078721035,0.5,276.0,655.0,565.0,139.0,442.0,379.0,289.0,-137.0,0.45634228735959115,-0.7501268440925087,-0.4228131299866106,0.9823431446292561,False,False
p_14619,0.8461892511977216,14619,infinite,infinite,infinite,66,0.8024545454545455,80.08030303030303,0.0383046550728127,0.5151515151515151,277.0,58.0,69.0,209.0,375.0,-219.0,-208.0,-68.0,0.45548718577526226,1.4822701474540796,1.3409242157711259,0.6306269527185253,False,False
p_19015,0.8460170395018508,19015,bymas,bymas,bymas,156,0.7308525641025642,73.65448717948718,0.041895780198476174,0.5384615384615384,278.0,415.0,394.0,204.0,274.0,137.0,116.0,-74.0,0.4551984683952557,0.03370661284859712,0.08816345300012142,0.6619155923326141,False,False
p_22460,0.8439069961351947,22460,riskyb0b,riskyb0b,riskyb0b,305,0.7537016393442623,75.20557377049181,-0.05356780952604438,0.5573770491803278,279.0,266.0,294.0,489.0,197.0,-13.0,15.0,210.0,0.45166092589884865,0.4959611003588778,0.3905593613148814,-0.1698365050287671,False,False
p_21266,0.8439069961351933,21266,1eer,1eer,1eer,305,0.7041868852459017,70.74426229508197,-0.1349779364530717,0.5573770491803278,280.0,583.0,581.0,696.0,197.0,303.0,301.0,416.0,0.4516609258988462,-0.5057607215451153,-0.4792066102984929,-0.8791440432578539,False,False
p_20387,0.84390699613519,20387,xant3r,xant3r,xant3r,305,0.7701344262295081,76.68852459016394,-0.02793883019439164,0.5573770491803278,281.0,175.0,205.0,413.0,197.0,-106.0,-76.0,132.0,0.4516609258988408,0.8284091053504554,0.6796716924391022,0.053462842647640604,False,False
p_20252,0.8417562333816332,20252,kind0,kind0,kind0,286,0.7250839160839161,73.20769230769231,-0.01226824299873703,0.47202797202797203,282.0,462.0,421.0,364.0,575.0,180.0,139.0,82.0,0.4480551162929206,-0.0829976040739773,0.0010574578414145437,0.18999703127895531,False,False
p_9216,0.8415029958167815,9216,coldzera,coldzera,coldzera,210,0.7648666666666666,76.70476190476191,0.14325606886796,0.5333333333333333,283.0,195.0,202.0,52.0,293.0,-88.0,-81.0,-231.0,0.4476305569395414,0.7218382497998164,0.6828372781162153,1.5450442588041138,False,False
p_21155,0.8398124025934393,21155,naz,naz,naz,251,0.7254422310756973,72.23067729083665,-0.10415049772363225,0.5059760956175299,284.0,457.0,487.0,627.0,423.0,173.0,203.0,343.0,0.4447962335004035,-0.07574861429469765,-0.1894189121901701,-0.6105517255639309,False,False
p_18506,0.8380071495628912,18506,s1ren,s1ren,s1ren,323,0.723374613003096,72.53993808049536,0.002996081869988925,0.5851393188854489,285.0,471.0,466.0,313.0,108.0,186.0,181.0,28.0,0.44176967991707516,-0.11757812916158707,-0.12912621290610693,0.32299155056118173,False,False
