player_col,rapm_score,hltv_player_id,hltv_slug,player_name,label
p_22267,-0.13265023628457803,22267,mds,mds,mds
p_17011,-0.1377369590475032,17011,shalfey,shalfey,shalfey
p_20122,-0.14056537940827712,20122,freeze,freeze,freeze
p_20782,-0.1481626757562109,20782,goody,goody,goody
p_23858,-0.1505391242732373,23858,mo0n,mo0n,mo0n
p_12781,-0.15629177593659938,12781,k1to,k1to,k1to
p_23100,-0.15870810709209882,23100,c4llm3su3,c4llm3su3,c4llm3su3
p_11942,-0.16652602902246208,11942,buster,buster,buster
p_25066,-0.16859362199377378,25066,qx,qx,qx
p_23360,-0.1767175613891722,23360,easy,easy,easy
p_16718,-0.17800247893380627,16718,fessor,fessor,fessor
p_21362,-0.1792282110484941,21362,truniq,truniq,truniq
p_11922,-0.1817748205467782,11922,alle,alle,alle
p_12094,-0.18239900581509003,12094,1962,1962,1962
p_21299,-0.18890081374717493,21299,savana1,savana1,savana1
p_22385,-0.18913152044449952,22385,melavi,melavi,melavi
p_22101,-0.20287823857063184,22101,spardaus,spardaus,spardaus
p_24426,-0.2037833747502955,24426,stesso,stesso,stesso
p_17553,-0.20732191532140604,17553,pesadelo,pesadelo,pesadelo
p_21888,-0.2161989553836624,21888,thuister,thuister,thuister
p_9626,-0.21933373332159486,9626,xellow,xellow,xellow
p_18835,-0.21977148843035027,18835,saffee,saffee,saffee
p_13157,-0.22062277296148794,13157,jerry,jerry,jerry
p_19710,-0.2265609831430019,19710,dare,dare,dare
p_17028,-0.23099301228647226,17028,abr,abr,abr
p_20553,-0.23422687537996018,20553,relentless,relentless,relentless
p_13026,-0.23429000222007346,13026,c0llins,c0llins,c0llins
p_20872,-0.23919526574493064,20872,nexius,nexius,nexius
p_23048,-0.24258410375227268,23048,kelien,kelien,kelien
p_19996,-0.2458966582403909,19996,jelo,jelo,jelo
p_22327,-0.2483438134388909,22327,something,something,something
p_16753,-0.24946883466671746,16753,n1xen,n1xen,n1xen
p_17372,-0.25318061848963186,17372,fang,fang,fang
p_16921,-0.2561635876974991,16921,nafany,nafany,nafany
p_10499,-0.25993190309174663,10499,jony-boy,jony-boy,jony-boy
p_10506,-0.25993190309174685,10506,tutehen,tutehen,tutehen
p_23386,-0.2630628549761815,23386,kumao,kumao,kumao
p_13669,-0.26911762460524274,13669,jackinho,jackinho,jackinho
p_18848,-0.2720508474683438,18848,henu,henu,henu
p_20029,-0.28016963440151815,20029,card,card,card
p_14359,-0.28219898861933507,14359,w1nt3r,w1nt3r,w1nt3r
p_9571,-0.2969171760959505,9571,cj-da-k1ng,cj-da-k1ng,cj-da-k1ng
p_23829,-0.3079833370342932,23829,machado,machado,machado
p_23469,-0.3203526093672172,23469,woozzzi,woozzzi,woozzzi
p_22144,-0.32393624935473553,22144,puuha,puuha,puuha
p_9818,-0.3239362493547378,9818,uli,uli,uli
p_17675,-0.326921401269283,17675,m1n1,m1n1,m1n1
p_24332,-0.3276238364457274,24332,matheos,matheos,matheos
p_20974,-0.35166067397421347,20974,duggy,duggy,duggy
p_21386,-0.3592080553173315,21386,lampada,lampada,lampada
p_17305,-0.3716148792528678,17305,finigan,finigan,finigan
p_16102,-0.37706727565514525,16102,nopeej,nopeej,nopeej
p_17325,-0.3789549211596454,17325,nolkz,nolkz,nolkz
p_20600,-0.393172246063949,20600,sm3t,sm3t,sm3t
p_24812,-0.39636385621653736,24812,jackast,jackast,jackast
p_24811,-0.3963638562165377,24811,hodix,hodix,hodix
p_22022,-0.43117933217435983,22022,trucklover86,trucklover86,trucklover86
p_22536,-0.43276767261493865,22536,mag1k3y,mag1k3y,mag1k3y
p_20794,-0.4614849355618934,20794,leen,leen,leen
p_21213,-0.4648974415796279,21213,ersin,ersin,ersin
p_21085,-0.4721913593084701,21085,antonini,antonini,antonini
p_24607,-0.4769324590553319,24607,swetsi,swetsi,swetsi
p_22364,-0.49041487041327625,22364,j0w,j0w,j0w
p_21638,-0.49209657853141014,21638,leleo,leleo,leleo
p_18891,-0.5128491118790385,18891,cutzmeretz,cutzmeretz,cutzmeretz
p_22126,-0.5730730670562071,22126,nyezin,nyezin,nyezin
